Date,MHHS
01-1997,3.45
02-1997,2.15
03-1997,1.89
04-1997,2.03
05-1997,2.25
06-1997,2.2
07-1997,2.19
08-1997,2.49
09-1997,2.88
10-1997,3.07
11-1997,3.01
12-1997,2.35
01-1998,2.09
02-1998,2.23
03-1998,2.24
04-1998,2.43
05-1998,2.14
06-1998,2.17
07-1998,2.17
08-1998,1.85
09-1998,2.02
10-1998,1.91
11-1998,2.12
12-1998,1.72
01-1999,1.85
02-1999,1.77
03-1999,1.79
04-1999,2.15
05-1999,2.26
06-1999,2.3
07-1999,2.31
08-1999,2.8
09-1999,2.55
10-1999,2.73
11-1999,2.37
12-1999,2.36
01-2000,2.42
02-2000,2.66
03-2000,2.79
04-2000,3.04
05-2000,3.59
06-2000,4.29
07-2000,3.99
08-2000,4.43
09-2000,5.06
10-2000,5.02
11-2000,5.52
12-2000,8.9
01-2023,8.17
02-2023,5.61
03-2023,5.23
04-2023,5.19
05-2023,4.19
06-2023,3.72
07-2023,3.11
08-2023,2.97
09-2023,2.19
10-2023,2.46
11-2023,2.34
12-2023,2.3
01-2023,2.32
02-2023,2.32
03-2023,3.03
04-2023,3.43
05-2023,3.5
06-2023,3.26
07-2023,2.99
08-2023,3.09
09-2023,3.55
10-2023,4.13
11-2023,4.04
12-2023,4.74
01-2023,5.43
02-2023,7.71
03-2023,5.93
04-2023,5.26
05-2023,5.81
06-2023,5.82
07-2023,5.03
08-2023,4.99
09-2023,4.62
10-2023,4.63
11-2023,4.47
12-2023,6.13
01-2023,6.14
02-2023,5.37
03-2023,5.39
04-2023,5.71
05-2023,6.33
06-2023,6.27
07-2023,5.93
08-2023,5.41
09-2023,5.15
10-2023,6.35
11-2023,6.17
12-2023,6.58
01-2023,6.15
02-2023,6.14
03-2023,6.96
04-2023,7.16
05-2023,6.47
06-2023,7.18
07-2023,7.63
08-2023,9.53
09-2023,11.75
10-2023,13.42
11-2023,10.3
12-2023,13.05
01-2023,8.69
02-2023,7.54
03-2023,6.89
04-2023,7.16
05-2023,6.25
06-2023,6.21
07-2023,6.17
08-2023,7.14
09-2023,4.9
10-2023,5.85
11-2023,7.41
12-2023,6.73
01-2023,6.55
02-2023,8
03-2023,7.11
04-2023,7.6
05-2023,7.64
06-2023,7.35
07-2023,6.22
08-2023,6.22
09-2023,6.08
10-2023,6.74
11-2023,7.1
12-2023,7.11
01-2023,7.99
02-2023,8.54
03-2023,9.41
04-2023,10.18
05-2023,11.27
06-2023,12.69
07-2023,11.09
08-2023,8.26
09-2023,7.67
10-2023,6.74
11-2023,6.68
12-2023,5.82
01-2023,5.24
02-2023,4.52
03-2023,3.96
04-2023,3.5
05-2023,3.83
06-2023,3.8
07-2023,3.38
08-2023,3.14
09-2023,2.99
10-2023,4.01
11-2023,3.66
12-2023,5.35
01-2023,5.83
02-2023,5.32
03-2023,4.29
04-2023,4.03
05-2023,4.14
06-2023,4.8
07-2023,4.63
08-2023,4.32
09-2023,3.89
10-2023,3.43
11-2023,3.71
12-2023,4.25
01-2023,4.49
02-2023,4.09
03-2023,3.97
04-2023,4.24
05-2023,4.31
06-2023,4.54
07-2023,4.42
08-2023,4.06
09-2023,3.9
10-2023,3.57
11-2023,3.24
12-2023,3.17
01-2023,2.67
02-2023,2.51
03-2023,2.17
04-2023,1.95
05-2023,2.43
06-2023,2.46
07-2023,2.95
08-2023,2.84
09-2023,2.85
10-2023,3.32
11-2023,3.54
12-2023,3.34
01-2023,3.33
02-2023,3.33
03-2023,3.81
04-2023,4.17
05-2023,4.04
06-2023,3.83
07-2023,3.62
08-2023,3.43
09-2023,3.62
10-2023,3.68
11-2023,3.64
12-2023,4.24
01-2023,4.71
02-2023,6
03-2023,4.9
04-2023,4.66
05-2023,4.58
06-2023,4.59
07-2023,4.05
08-2023,3.91
09-2023,3.92
10-2023,3.78
11-2023,4.12
12-2023,3.48
01-2023,2.99
02-2023,2.87
03-2023,2.83
04-2023,2.61
05-2023,2.85
06-2023,2.78
07-2023,2.84
08-2023,2.77
09-2023,2.66
10-2023,2.34
11-2023,2.09
12-2023,1.93
01-2023,2.28
02-2023,1.99
03-2023,1.73
04-2023,1.92
05-2023,1.92
06-2023,2.59
07-2023,2.82
08-2023,2.82
09-2023,2.99
10-2023,2.98
11-2023,2.55
12-2023,3.59
01-2023,3.3
02-2023,2.85
03-2023,2.88
04-2023,3.1
05-2023,3.15
06-2023,2.98
07-2023,2.98
08-2023,2.9
09-2023,2.98
10-2023,2.88
11-2023,3.01
12-2023,2.82
01-2023,3.87
02-2023,2.67
03-2023,2.69
04-2023,2.8
05-2023,2.8
06-2023,2.97
07-2023,2.83
08-2023,2.96
09-2023,3
10-2023,3.28
11-2023,4.09
12-2023,4.04
01-2023,3.11
02-2023,2.69
03-2023,2.95
04-2023,2.65
05-2023,2.64
06-2023,2.4
07-2023,2.37
08-2023,2.22
09-2023,2.56
10-2023,2.33
11-2023,2.65
12-2023,2.22
01-2023,2.02
02-2023,1.91
03-2023,1.79
04-2023,1.74
05-2023,1.75
06-2023,1.63
07-2023,1.77
08-2023,2.3
09-2023,1.92
10-2023,2.39
11-2023,2.61
12-2023,2.59
01-2023,2.71
02-2023,5.35
03-2023,2.62
04-2023,2.66
05-2023,2.91
06-2023,3.26
07-2023,3.84
08-2023,4.07
09-2023,5.16
10-2023,5.51
11-2023,5.05
12-2023,3.76
01-2023,4.38
02-2023,4.69
03-2023,4.9
04-2023,6.6
05-2023,8.14
06-2023,7.7
07-2023,7.28
08-2023,8.81
09-2023,7.88
10-2023,5.66
11-2023,5.45
12-2023,5.53
01-2023,3.27
02-2023,2.38
03-2023,2.31
04-2023,2.16
05-2023,2.15
06-2023,2.18
